#                        id   b      mag     nPix_g     nPix_s       sky    skyErr_s   skyStdErr_s    magErr_r    magErr_s    magErr_t    delMag_p    delMag_m
NGVSJ12:26:47.06+12:27:14.3   U   15.488    1262875     714066     0.306   3.430e-02     1.715e-02   1.418e-03   3.280e-05   3.688e-02   3.624e-02   3.750e-02
NGVSJ12:26:47.06+12:27:14.3   G   14.451     862577     769491     0.255   2.220e-02     1.110e-02   3.936e-04   6.751e-06   6.326e-03   6.252e-03   6.288e-03
NGVSJ12:26:47.06+12:27:14.3   R   13.704    1528093     687775     0.123   4.900e-02     2.450e-02   4.171e-04   9.968e-06   1.234e-02   1.225e-02   1.239e-02
NGVSJ12:26:47.06+12:27:14.3   I   13.420    1043717     725055     4.383   4.134e-02     2.067e-02   6.193e-04   5.351e-06   5.491e-03   5.453e-03   5.480e-03
NGVSJ12:26:47.06+12:27:14.3   Z   13.294     506415     827152     5.008   7.051e-02     3.525e-02   6.436e-04   5.660e-06   4.058e-03   4.020e-03   4.035e-03
NGVSJ12:26:47.88+13:22:44.9   U   19.642      16101     364141     0.228   1.724e-02     8.621e-03   5.530e-03   8.541e-05   1.422e-02   1.078e-02   1.089e-02
NGVSJ12:26:47.88+13:22:44.9   G   18.596      28539     372757     1.267   1.770e-02     8.850e-03   2.529e-03   4.454e-05   9.433e-03   7.499e-03   7.551e-03
NGVSJ12:26:47.88+13:22:44.9   R   18.070      23579     358933     0.553   2.892e-02     1.446e-02   2.156e-03   4.075e-05   7.687e-03   6.240e-03   6.276e-03
NGVSJ12:26:47.88+13:22:44.9   I   17.859      16101     366377     2.197   2.647e-02     1.324e-02   3.422e-03   2.538e-05   5.175e-03   3.216e-03   3.226e-03
NGVSJ12:26:47.88+13:22:44.9   Z   17.718      16101     355540     3.908   9.537e-02     4.769e-02   4.832e-03   8.031e-05   1.087e-02   1.014e-02   1.024e-02
NGVSJ12:26:48.25+12:31:35.8   U   21.186      36377     136867     0.368   3.221e-02     1.610e-02   3.412e-02   9.942e-04   1.905e-01   1.748e-01   2.084e-01
NGVSJ12:26:48.25+12:31:35.8   G   20.129      36377     133474     0.418   1.055e-02     5.273e-03   1.162e-02   1.230e-04   2.613e-02   2.320e-02   2.371e-02
NGVSJ12:26:48.25+12:31:35.8   R   19.603      36377     133820     0.297   5.893e-02     2.946e-02   1.113e-02   4.233e-04   8.123e-02   7.787e-02   8.389e-02
NGVSJ12:26:48.25+12:31:35.8   I   19.444      36377     136060     4.413   5.576e-02     2.788e-02   2.306e-02   3.460e-04   6.652e-02   6.406e-02   6.808e-02
NGVSJ12:26:48.25+12:31:35.8   Z   19.195      25269     137144     5.782   3.140e-02     1.570e-02   2.455e-02   1.291e-04   2.184e-02   2.033e-02   2.071e-02
NGVSJ12:26:48.36+13:21:17.7   U   21.039      70363     140610     0.200   1.227e-02     6.135e-03   4.136e-02   4.601e-04   1.233e-01   1.157e-01   1.295e-01
NGVSJ12:26:48.36+13:21:17.7   G   19.263     220865     140611     1.226   1.676e-02     8.382e-03   1.286e-02   2.169e-04   1.022e-01   9.744e-02   1.071e-01
NGVSJ12:26:48.36+13:21:17.7   R   18.692     182549     139775     0.635   1.429e-02     7.145e-03   1.053e-02   9.936e-05   4.287e-02   4.164e-02   4.330e-02
NGVSJ12:26:48.36+13:21:17.7   I   18.596     182549     153555     2.180   6.061e-02     3.031e-02   2.252e-02   3.858e-04   1.649e-01   1.535e-01   1.788e-01
NGVSJ12:26:48.36+13:21:17.7   Z   18.856      70363     145397     4.079   4.502e-02     2.251e-02   2.878e-02   2.260e-04   6.030e-02   5.836e-02   6.168e-02
